Category,SubCategory,SubSubCategory,Risk Score ,SubSubCategory (input),"Filter
Yes = Include No = Don't Include",Description,,,,,,,,,,,,,,,,,,,,
Criminal Intent,Accessory,Accessory,Low,accessory,Yes,"An accessory is a person who assists in the commission of a crime, but who does not actually participate in the commission of the crime as a joint principal.",,,,,,,,,,,,,,,,,,,,
Criminal Intent,Accessory,Aid & Abet,Med,aid_and_abet,Yes,To assist someone in committing or encourage someone to commit a crime.  Does not apply to charges that list the actual crime.  E.g. Aid & Abet robbery is a robbery.,,,,,,,,,,,,,,,,,,,,
Criminal Intent,Accessory,Compounding,Low,compounding,Yes,A criminal act in which a person agrees not to report the occurrence of a crime or not to prosecute a criminal offender in exchange for money or other consideration.,,,,,,,,,,,,,,,,,,,,
Criminal Intent,Accessory,Harboring,Low,harboring,Yes,Harboring a fugitive refers to the crime of knowingly hiding a wanted criminal from the authorities.,,,,,,,,,,,,,,,,,,,,
Criminal Intent,Accessory,Solicitation,Low,solicitation,Yes,"Criminal solicitation is requesting, encouraging or demanding someone to engage in criminal conduct, with the intent to facilitate or contribute to the commission of that crime.",,,,,,,,,,,,,,,,,,,,
Criminal Intent,Conspiracy,Attempt to Commit a Crime,Low,attempt_to_commit_a_crime,Yes,An attempt to commit a crime.  Does not apply to charges that list the actual crime.  E.g. Attempted robbery is robbery not an attempt.,,,,,,,,,,,,,,,,,,,,
Criminal Intent,Conspiracy,Conspiracy,Low,conspiracy,Yes,Conspiracy is an agreement between two or more persons to commit a crime at some time in the future.  Does not apply to charges that list the actual crime.  E.g. Conspiracy robbery is robbery not conspiracy.,,,,,,,,,,,,,,,,,,,,
Criminal Intent,Court Orders,Bail Jumping,High,bail_jumping,Yes,"Bail jumping is defined as the intentional failure to comply with conditions of bail, such as leaving the jurisdiction before your court date.",,,,,,,,,,,,,,,,,,,,
Criminal Intent,Court Orders,Contempt of Court,Low,contempt_of_court,Yes,"Contempt of court is the offence of being disobedient to or discourteous towards a court of law and its officers in the form of behavior that opposes or defies the authority, justice and dignity of the court.",,,,,,,,,,,,,,,,,,,,
Criminal Intent,Court Orders,Probation Violation,Med,probation_violation,Yes,The criminal act of violating a court ordered probation.,,,,,,,,,,,,,,,,,,,,
Criminal Intent,Court Orders,Failure to Appear,Low,failure_to_appear,Yes,Failure to appear for a court hearing.,,,,,,,,,,,,,,,,,,,,
Criminal Intent,Court Orders,Failure to Pay,Med,failure_to_pay,Yes,Failure to pay a court fine.,,,,,,,,,,,,,,,,,,,,
Criminal Intent,Court Orders,Failure to Vacate,Low,failure_to_vacate,Yes,Failure to vacate housing after eviction.,,,,,,,,,,,,,,,,,,,,
Criminal Intent,Court Orders,Fugitive,High,fugitive,Yes,"A fugitive from justice, also known as a wanted person, can be a person who is either convicted or accused of a crime and hiding from law enforcement in the state or taking refuge in a different country in order to avoid arrest",,,,,,,,,,,,,,,,,,,,
Criminal Intent,Court Orders,Violation of Protective Order,Low,violation_of_protective_order,Yes,The act of violating a court ordered protective or restraining order.,,,,,,,,,,,,,,,,,,,,
Criminal Intent,Court Orders,Violation of Treatment Program,Low,violation_of_treatment_program,Yes,Not abiding by a court ordered treatment program.,,,,,,,,,,,,,,,,,,,,
Criminal Intent,Criminal Tools,Possession of Criminal Tools,Med,possession_of_criminal_tools,Yes,To possess tools that are intended to facilitate crimes.,,,,,,,,,,,,,,,,,,,,
Criminal Intent,Criminal Tools,Use Motor Vehicle in Commission of a Crime,High,use_motor_vehicle_in_commission_of_a_crime,Yes,Using a motor vehicle during the course of commiting another crime.,,,,,,,,,,,,,,,,,,,,
Criminal Intent,Obstruction,Concealing Death,Low,concealing_death,Yes,Hinders a discovery of the unlawful killing of another.,,,,,,,,,,,,,,,,,,,,
Criminal Intent,Obstruction,Escape,Med,escape,Yes,Escape from penal institution.,,,,,,,,,,,,,,,,,,,,
Criminal Intent,Obstruction,Evidence Tampering,Low,evidence_tampering,Yes,"Tampering with evidence can be any action that destroys, alters, conceals, or falsifies any sort of evidence.",,,,,,,,,,,,,,,,,,,,
