Category,SubCategory,SubSubCategory,SubSubCategory (input),Filter Yes = Include No = Don't Include,Description
Criminal Intent,Accessory,Accessory,accessory,Yes,"An accessory is a person who assists in the commission of a crime, but who does not actually participate in the commission of the crime as a joint principal."
Criminal Intent,Accessory,Aid & Abet,aid_and_abet,Yes,To assist someone in committing or encourage someone to commit a crime.  Does not apply to charges that list the actual crime.  E.g. Aid & Abet robbery is a robbery.
Criminal Intent,Accessory,Compounding,compounding,Yes,A criminal act in which a person agrees not to report the occurrence of a crime or not to prosecute a criminal offender in exchange for money or other consideration.
Criminal Intent,Accessory,Harboring,harboring,Yes,Harboring a fugitive refers to the crime of knowingly hiding a wanted criminal from the authorities.
Criminal Intent,Accessory,Solicitation,solicitation,Yes,"Criminal solicitation is requesting, encouraging or demanding someone to engage in criminal conduct, with the intent to facilitate or contribute to the commission of that crime."
Criminal Intent,Conspiracy,Attempt to Commit a Crime,attempt_to_commit_a_crime,Yes,An attempt to commit a crime.  Does not apply to charges that list the actual crime.  E.g. Attempted robbery is robbery not an attempt.
Criminal Intent,Conspiracy,Conspiracy,conspiracy,Yes,Conspiracy is an agreement between two or more persons to commit a crime at some time in the future.  Does not apply to charges that list the actual crime.  E.g. Conspiracy robbery is robbery not conspiracy.
Criminal Intent,Court Orders,Bail Jumping,bail_jumping,Yes,"Bail jumping is defined as the intentional failure to comply with conditions of bail, such as leaving the jurisdiction before your court date."
Criminal Intent,Court Orders,Contempt of Court,contempt_of_court,Yes,"Contempt of court is the offence of being disobedient to or discourteous towards a court of law and its officers in the form of behavior that opposes or defies the authority, justice and dignity of the court."
Criminal Intent,Court Orders,Probation Violation,probation_violation,Yes,The criminal act of violating a court ordered probation.
Criminal Intent,Court Orders,Failure to Appear,failure_to_appear,Yes,Failure to appear for a court hearing.
Criminal Intent,Court Orders,Failure to Pay,failure_to_pay,Yes,Failure to pay a court fine.
Criminal Intent,Court Orders,Failure to Vacate,failure_to_vacate,Yes,Failure to vacate housing after eviction.
